,open,high,low,close
40,3665.18000000,3684.99000000,3609.76000000,3680.06000000
41,3679.75000000,3684.90000000,3615.53000000,3631.05000000
42,3631.05000000,3667.60000000,3582.34000000,3631.46000000
43,3631.51000000,3670.00000000,3591.75000000,3609.40000000
44,3608.34000000,3626.40000000,3568.11000000,3590.56000000
45,3590.57000000,3653.23000000,3573.45000000,3602.47000000
46,3602.49000000,3648.20000000,3597.91000000,3618.41000000
47,3617.22000000,3700.11000000,3604.40000000,3667.58000000
48,3667.62000000,3925.00000000,3655.00000000,3898.60000000
49,3897.35000000,3994.52000000,3856.00000000,3907.79000000
50,3907.35000000,3986.98000000,3870.66000000,3969.74000000
51,3969.74000000,4016.48000000,3901.03000000,3937.31000000
52,3937.31000000,3988.00000000,3926.65000000,3962.00000000
53,3962.00000000,4162.02000000,3933.15000000,4117.76000000
54,4118.00000000,4198.00000000,3712.66000000,3743.56000000
55,3743.56000000,3872.66000000,3740.00000000,3827.92000000
56,3828.44000000,3841.51000000,3777.00000000,3809.23000000
57,3809.31000000,3838.85000000,3677.17000000,3818.07000000
58,3818.04000000,3888.00000000,3763.87000000,3813.69000000
59,3814.26000000,3857.00000000,3813.01000000,3823.00000000
60,3822.17000000,3841.31000000,3772.25000000,3819.93000000
61,3819.97000000,3835.00000000,3781.32000000,3807.75000000
62,3807.32000000,3830.00000000,3670.69000000,3715.30000000
63,3716.10000000,3877.10000000,3703.55000000,3857.73000000
64,3857.58000000,3907.00000000,3813.09000000,3861.84000000
65,3861.84000000,3905.40000000,3840.40000000,3873.64000000
66,3873.63000000,3932.00000000,3800.00000000,3864.89000000
67,3864.88000000,3971.75000000,3854.75000000,3943.04000000
68,3943.43000000,3943.43000000,3881.69000000,3916.82000000
69,3915.99000000,3936.98000000,3830.00000000,3871.61000000
70,3871.61000000,3905.20000000,3826.06000000,3882.73000000
71,3882.69000000,3893.56000000,3840.00000000,3866.00000000
72,3866.00000000,3920.00000000,3810.43000000,3877.12000000
73,3877.12000000,3939.22000000,3872.20000000,3923.76000000
74,3924.46000000,4056.98000000,3921.98000000,4005.98000000
75,4005.98000000,4012.00000000,3950.01000000,3981.14000000
76,3981.85000000,4037.00000000,3953.33000000,3987.81000000
77,3987.83000000,4031.00000000,3970.00000000,4015.53000000
78,4017.48000000,4050.00000000,3980.50000000,4043.04000000
79,4043.04000000,4069.32000000,3880.01000000,3980.64000000
80,3980.85000000,4008.00000000,3968.25000000,3986.93000000
81,3987.89000000,4018.83000000,3978.01000000,4006.01000000
82,4006.01000000,4006.02000000,3950.00000000,3992.18000000
83,3991.35000000,3999.30000000,3888.71000000,3936.12000000
84,3935.47000000,3958.98000000,3894.00000000,3948.55000000
85,3948.77000000,4048.00000000,3936.15000000,4038.05000000
86,4039.58000000,4039.70000000,4002.00000000,4027.81000000
87,4028.22000000,4123.71000000,4024.03000000,4103.25000000
88,4104.24000000,4140.00000000,4052.00000000,4106.97000000
89,4106.99000000,4116.12000000,4082.57000000,4103.95000000
90,4102.44000000,4158.70000000,4067.00000000,4144.56000000
91,4144.54000000,4897.99000000,4140.54000000,4857.29000000
92,4857.19000000,5275.01000000,4753.50000000,4932.60000000
93,4932.59000000,5039.08000000,4777.00000000,4898.66000000
94,4898.64000000,5028.22000000,4880.62000000,5004.95000000
95,5004.96000000,5205.00000000,4928.59000000,5043.89000000
96,5042.07000000,5234.00000000,5026.00000000,5170.27000000
97,5170.27000000,5305.00000000,5039.00000000,5236.90000000
98,5238.38000000,5238.40000000,5076.68000000,5150.00000000
99,5150.00000000,5422.00000000,5135.00000000,5308.25000000
100,5307.86000000,5332.67000000,4927.00000000,5017.37000000
101,5017.37000000,5080.58000000,4861.22000000,5048.01000000
102,5047.00000000,5099.00000000,5004.00000000,5045.22000000
103,5047.45000000,5152.99000000,5000.00000000,5131.30000000
104,5131.28000000,5167.38000000,4950.00000000,5024.95000000
105,5024.95000000,5197.72000000,5003.94000000,5173.72000000
106,5173.72000000,5230.40000000,5146.80000000,5202.82000000
107,5202.41000000,5287.00000000,5198.80000000,5258.44000000
108,5258.44000000,5320.00000000,5175.00000000,5258.68000000
109,5258.68000000,5333.42000000,5230.10000000,5291.73000000
110,5292.91000000,5314.35000000,5165.00000000,5256.14000000
111,5257.41000000,5400.00000000,5208.35000000,5357.14000000
112,5357.14000000,5600.00000000,5332.41000000,5493.31000000
113,5490.91000000,5582.20000000,5333.35000000,5415.00000000
114,5415.00000000,5491.84000000,5102.00000000,5219.90000000
115,5220.47000000,5510.00000000,5161.62000000,5314.10000000
116,5315.00000000,5342.50000000,5257.67000000,5295.69000000
117,5295.69000000,5340.00000000,5259.48000000,5307.52000000
118,5309.81000000,5332.00000000,5178.80000000,5238.14000000
119,5238.14000000,5339.98000000,5192.15000000,5320.81000000
120,5321.94000000,5402.00000000,5316.20000000,5383.20000000
121,5383.20000000,5538.00000000,5370.00000000,5492.87000000
122,5494.81000000,5844.00000000,5477.57000000,5772.69000000
123,5770.62000000,5900.00000000,5587.45000000,5829.45000000
124,5829.83000000,5839.90000000,5696.00000000,5775.62000000
125,5773.18000000,5805.00000000,5619.14000000,5747.79000000
126,5749.92000000,6028.41000000,5747.74000000,5846.34000000
127,5846.34000000,6014.72000000,5772.20000000,5987.29000000
128,5986.66000000,6224.55000000,5983.71000000,6209.18000000
129,6209.95000000,6468.92000000,6172.00000000,6373.33000000
130,6375.16000000,7343.99000000,6372.85000000,7076.22000000
